Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts
Harrison Butker,KC,0.938,0.895,0/0,9/9,9/10,13/13,3/6,56,147
Wil Lutz,NO,0.980,0.889,1/1,9/9,6/6,13/15,3/5,58,144
Justin Tucker,BAL,0.966,0.966,0/0,8/8,9/9,10/11,1/1,51,141
Zane Gonzalez,ARI,0.971,0.886,0/0,12/12,12/13,5/8,2/2,54,127
Matt Gay,TB,0.896,0.771,0/0,6/6,5/7,11/14,5/8,58,124
Dan Bailey,MIN,0.909,0.931,0/0,10/10,9/9,5/7,3/3,50,121
Josh Lambo,JAX,0.950,0.971,0/0,12/12,9/9,8/9,4/4,56,118
Chris Boswell,PIT,1.000,0.935,1/1,11/11,7/7,9/10,1/2,51,115
Greg Zuerlein,LA,1.000,0.727,0/0,7/7,7/8,5/11,5/7,58,114
Matt Prater,DET,0.972,0.839,0/0,11/11,2/3,6/9,7/8,56,113
Brandon McManus,DEN,0.962,0.853,0/0,6/6,9/9,10/12,4/7,53,112
Robbie Gould,SF,0.976,0.742,0/0,9/9,8/10,6/8,0/4,47,110
Jason Myers,SEA,0.909,0.821,0/0,6/6,11/11,4/7,2/4,54,109
Mason Crosby,GB,0.976,0.917,1/1,2/2,11/11,7/8,1/2,54,106
Joey Slye,CAR,0.886,0.781,0/0,4/5,5/5,8/11,8/11,55,106
Randy Bullock,CIN,0.960,0.871,0/0,10/10,6/6,10/12,1/3,57,105
Austin Seibert,CLE,0.857,0.862,0/0,6/6,9/9,9/12,1/2,53,105
Jake Elliott,PHI,0.946,0.846,0/0,7/7,8/8,5/7,2/4,53,101
Ka'imi Fairbairn,HOU,0.889,0.800,0/0,5/5,8/8,4/6,3/6,54,100
Jason Sanders,MIA,0.967,0.767,0/0,7/7,8/9,5/9,3/5,54,98
Stephen Hauschka,BUF,0.938,0.786,0/0,5/5,7/8,9/10,1/5,51,96
Dustin Hopkins,WAS,0.955,0.833,0/0,7/8,8/9,8/10,2/3,53,96
Brett Maher,DAL,1.000,0.667,0/0,9/9,6/8,1/5,4/8,63,96
Eddy Pineiro,CHI,0.931,0.821,1/1,8/8,9/10,3/7,2/2,53,96
Daniel Carlson,OAK,0.944,0.731,0/0,8/8,5/6,6/10,0/2,48,91